"site_code";"siteid";"assetnum";"asset_group";"asset_desc";"machine_loading";"part_num";"oper_num";"asset_net_avail_time";"ideal_cycle_time";"fw";"fy";"fiscal_wk_begin";"fiscal_wk_end";"qty_claimed";"qty_noncf";"down_time_min"
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";652;4;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;30
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";382;4;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;30
"GNV";"GNSC";"GN174136";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;11;2016;"2016-03-14 00:00:00";"2016-03-20 00:00:00";550;2;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;43;2016;"2016-10-24 00:00:00";"2016-10-30 00:00:00";34;0;0
